"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","96","500","5","0.55","9","0","""-1059479551""","29.592728934085436","29.592728934085436","29.592728934085436","0","29.592728934085436"
"1","97","500","5","0.55","9","0","""-984578470""","28.19326458532124","28.19326458532124","28.19326458532124","0","28.19326458532124"
"1","98","500","5","0.55","9","0","""1617032958""","25.14680736934979","25.14680736934979","25.14680736934979","0","25.14680736934979"
"1","99","500","5","0.55","9","0","""-1405865777""","28.183564732658915","28.183564732658915","28.183564732658915","0","28.183564732658915"
"1","100","500","5","0.55","9","0","""-2039322327""","26.993347993358224","26.993347993358224","26.993347993358224","0","26.993347993358224"
"1","101","500","0","0.5","4","150","""-235335327""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","102","500","0","0.5","4","150","""339440964""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","103","500","0","0.5","4","150","""-1832789300""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","104","500","0","0.5","4","150","""-510552544""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","105","500","0","0.5","4","150","""1348153356""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","106","500","0","0.5","4","150","""-1423286627""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","107","500","0","0.5","4","150","""-690847031""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","108","500","0","0.5","4","150","""-975775428""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","109","500","0","0.5","4","150","""-638168326""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","110","500","0","0.5","4","150","""-1371584707""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","111","500","4","0.4","4","250","""474979229""","31.663150125905812","31.663150125905812","31.663150125905812","0","31.663150125905812"
"1","112","500","4","0.4","4","250","""-514059410""","31.531463128808166","31.531463128808166","31.531463128808166","0","31.531463128808166"
"1","113","500","4","0.4","4","250","""963234002""","32.04513742678404","32.04513742678404","32.04513742678404","0","32.04513742678404"
"1","114","500","4","0.4","4","250","""-1619029225""","32.37366970381984","32.37366970381984","32.37366970381984","0","32.37366970381984"
"1","115","500","4","0.4","4","250","""271047094""","35.26364216090737","35.26364216090737","35.26364216090737","0","35.26364216090737"
"1","116","500","4","0.4","4","250","""985621097""","32.74513981312173","32.74513981312173","32.74513981312173","0","32.74513981312173"
"1","117","500","4","0.4","4","250","""312782481""","33.06470701898766","33.06470701898766","33.06470701898766","0","33.06470701898766"
"1","118","500","4","0.4","4","250","""1428492050""","31.545627471894214","31.545627471894214","31.545627471894214","0","31.545627471894214"
"1","119","500","4","0.4","4","250","""-1873937723""","34.23021056371367","34.23021056371367","34.23021056371367","0","34.23021056371367"
"1","120","500","4","0.4","4","250","""1516589486""","32.938438526074066","32.938438526074066","32.938438526074066","0","32.938438526074066"
"1","121","500","0.2","0.1","1","50","""-1077520094""","14.136751054168982","14.136751054168982","14.136751054168982","0","14.136751054168982"
"1","122","500","0.2","0.1","1","50","""343449472""","14.925661804727742","14.925661804727742","14.925661804727742","0","14.925661804727742"
"1","123","500","0.2","0.1","1","50","""935446758""","13.492412684664918","13.492412684664918","13.492412684664918","0","13.492412684664918"
"1","124","500","0.2","0.1","1","50","""1036980245""","14.451038414938482","14.451038414938482","14.451038414938482","0","14.451038414938482"
"1","125","500","0.2","0.1","1","50","""1224920873""","14.62846786506796","14.62846786506796","14.62846786506796","0","14.62846786506796"
"1","126","500","0.2","0.1","1","50","""-1220807125""","14.940007823355089","14.940007823355089","14.940007823355089","0","14.940007823355089"
"1","127","500","0.2","0.1","1","50","""60509433""","14.86081449060139","14.86081449060139","14.86081449060139","0","14.86081449060139"
"1","128","500","0.2","0.1","1","50","""-184922975""","14.476149412825011","14.476149412825011","14.476149412825011","0","14.476149412825011"
"1","129","500","0.2","0.1","1","50","""-1658599287""","14.755720928643377","14.755720928643377","14.755720928643377","0","14.755720928643377"
"1","130","500","0.2","0.1","1","50","""-45123499""","13.988470168484698","13.988470168484698","13.988470168484698","0","13.988470168484698"
"1","131","500","3.8000000000000003","0.05","7","0","""-1872426297""","31.337207610110887","31.337207610110887","31.337207610110887","0","31.337207610110887"
"1","132","500","3.8000000000000003","0.05","7","0","""-1907217299""","29.46641424690065","29.46641424690065","29.46641424690065","0","29.46641424690065"
"1","133","500","3.8000000000000003","0.05","7","0","""1413749120""","31.065182033803158","31.065182033803158","31.065182033803158","0","31.065182033803158"
"1","134","500","3.8000000000000003","0.05","7","0","""381651561""","34.57890777160119","34.57890777160119","34.57890777160119","0","34.57890777160119"
"1","135","500","3.8000000000000003","0.05","7","0","""-845102083""","32.68640234940845","32.68640234940845","32.68640234940845","0","32.68640234940845"
